0 0 0.04122963943518698
0 1 0.07782740821130574
0 2 0.037744085828308016
0 3 0.016319021669914946
0 4 0.012016008433420211

1 0 0.07313266443088651
1 1 0.06605016958201304
1 2 0.03894964058417827
1 3 0.04411247780080885
1 4 0.03427126060705632

2 0 0.04661279229912907
2 1 0.04816787516756449
2 2 0.06600538670318201
2 3 0.06563094930606894
2 4 0.048879814392421395

3 0 0.021083473809994757
3 1 0.03798481810372323
3 2 0.06225274037569761
3 3 0.0666035600588657
3 4 0.06824177294038236

4 0 0.024896664079278708
4 1 0.024226208042819053
4 2 0.04580671194707975
4 3 0.05429226299747825
4 4 0.0677671218290925

